City_State,Population,
Erie_PA,103817,
SouthBend_IN,103807,
Ventura_CA,103706,
Fairfield_CA,103683,
Lowell_MA,103615,
Norwalk_CA,102982,
Burbank_CA,102968,
Richmond_CA,102285,
PompanoBeach_FL,101943,
HighPoint_NC,101835,
Murfreesboro_TN,101753,
Lewisville_TX,101624,
Richardson_TX,101589,
DalyCity_CA,101514,
Berkeley_CA,101371,
Gresham_OR,101221,
WichitaFalls_TX,101202,
GreenBay_WI,101025,
Davenport_IA,100827,
PalmBay_FL,100786,
Columbia_MO,100733,
Portsmouth_VA,100577,
Rochester_MN,100413,
Antioch_CA,100219,
Wilmington_NC,100192,
Centennial_CO,99680,
Odessa_TX,98801,
WestPalmBeach_FL,98779,
Rialto_CA,98700,
Everett_WA,98212,
Murrieta_CA,97918,
Tyler_TX,97705,
Temecula_CA,97100,
Kenosha_WI,96950,
Frisco_TX,96676,
Sandy_UT,96660,
SouthGate_CA,96640,
Carlsbad_CA,96374,
Gary_IN,95920,
MissionViejo_CA,94461,
NorthCharleston_SC,94407,
Boulder_CO,94171,
Compton_CA,93851,
Hillsboro_OR,93638,
Albany_NY,93539,
Fargo_ND,93531,
Lakeland_FL,93333,
Orem_UT,93250,
Brockton_MA,93007,
Roanoke_VA,92967,
BrokenArrow_OK,92931,
Surprise_AZ,92897,
Macon_GA,92775,
ElCajon_CA,92718,
Carson_CA,92366,
Quincy_MA,92339,
Clovis_CA,92318,
SanMateo_CA,92256,
Vacaville_CA,92219,
SanAngelo_TX,91880,
LasCruces_NM,91865,
Beaverton_OR,91757,
Greeley_CO,91492,
NewBedford_MA,91365,
Livonia_MI,91220,
Vista_CA,91144,
FallRiver_MA,90931,
Waukegan_IL,90788,
Lawrence_KS,90520,
Davie_FL,90238,
Tuscaloosa_AL,90221,
Redding_CA,90201,
Lawton_OK,90091,
Yuma_AZ,90041,
Sunrise_FL,89026,
Westminster_CA,88975,
Sparks_NV,88602,
SantaMonica_CA,87664,
Roswell_GA,87657,
Lynn_MA,86957,
Nashua_NH,86576,
Dearborn_MI,86477,
SantaMaria_CA,86356,
SpokaneValley_WA,86144,
SantaBarbara_CA,86093,
Alhambra_CA,85953,
Longmont_CO,85928,
Hesperia_CA,85883,
BocaRaton_FL,85670,
FortSmith_AR,84716,
MiamiBeach_FL,84633,
Warwick_RI,84483,
Indio_CA,84443,
CitrusHeights_CA,84432,
Deltona_FL,84408,
FederalWay_WA,84309,
Hawthorne_CA,84305,
Duluth_MN,84284,
Lee'sSummit_MO,84208,
CollegeStation_TX,84128,
Yakima_WA,84074,
Kent_WA,83978,
Chico_CA,83791,
Plantation_FL,83628,
Norwalk_CT,83185,
Chino_CA,83031,
Pearland_TX,82903,
Trenton_NJ,82883,
Ogden_UT,82865,
SiouxCity_IA,82807,
SandySprings_GA,82674,
Suffolk_VA,82302,
Whittier_CA,82267,
Racine_WI,82196,
Newton_MA,82139,
Avondale_AZ,81299,
Bloomington_MN,81280,
Allen_TX,81268,
SugarLand_TX,80704,
Reading_PA,80506,
Cicero_IL,80414,
Nampa_ID,80362,
Troy_MI,80264,
Livermore_CA,80188,
Cranston_RI,79980,
NewportBeach_CA,79661,
RioRancho_NM,79655,
Greenville_NC,79629,
Edmond_OK,79559,
Champaign_IL,79389,
Camden_NJ,79383,
BuenaPark_CA,79379,
Danbury_CT,79256,
Tracy_CA,79196,
SanMarcos_CA,79114,
Westland_MI,78961,
Bellingham_WA,78905,
FarmingtonHills_MI,78522,
Lakewood_CA,78444,
Canton_OH,78362,
Clifton_NJ,78219,
Parma_OH,77947,
SanLeandro_CA,77880,
Evanston_IL,77693,
BaldwinPark_CA,77380,
Melbourne_FL,77351,
Longview_TX,77211,
Bend_OR,77181,
Merced_CA,77160,
O'Fallon_MO,76819,
Hammond_IN,76732,
Decatur_IL,76256,
Jacksonville_NC,76233,
St.Joseph_MO,76197,
Albany_GA,75831,
Somerville_MA,75662,
LakeForest_CA,75566,
Southfield_MI,75392,
MissouriCity_TX,74723,
DeerfieldBeach_FL,74584,
Napa_CA,74547,
Asheville_NC,74543,
NewRochelle_NY,74115,
RedwoodCity_CA,74060,
ChinoHills_CA,73879,
ArlingtonHeights_IL,73399,
Fayetteville_AR,73372,
Medford_OR,73212,
Bellflower_CA,73033,
Bloomington_IL,73026,
Youngstown_OH,72925,
Largo_FL,72732,
St.George_UT,72718,
Lynchburg_VA,72596,
Wilmington_DE,72592,
Gastonia_NC,72505,
Bryan_TX,72357,
PalmCoast_FL,72316,
Bethlehem_PA,72241,
Scranton_PA,72233,
Kalamazoo_MI,72179,
UnionCity_CA,72123,
Upland_CA,72091,
SantaFe_NM,71831,
Bloomington_IN,71819,
Tustin_CA,71814,
Pawtucket_RI,71765,
Schaumburg_IL,71716,
Edinburg_TX,71520,
Plymouth_MN,71486,
MountainView_CA,71348,
BrooklynPark_MN,71308,
LeagueCity_TX,71222,
LakeCharles_LA,71061,
Hoover_AL,71020,
Hemet_CA,70991,
Bolingbrook_IL,70823,
Alameda_CA,70580,
NewBritain_CT,70486,
Wyoming_MI,70462,
Baytown_TX,70330,
Appleton_WI,70305,
Lorain_OH,70239,
AppleValley_CA,70200,
Gulfport_MS,70055,
Lynwood_CA,70025,
Lawrence_MA,70014,
Redlands_CA,69689,
FlowerMound_TX,69307,
RochesterHills_MI,69014,
Fishers_IN,69011,
MountVernon_NY,68653,
Turlock_CA,68404,
BoyntonBeach_FL,68291,
Missoula_MT,68202,
Springdale_AR,68180,
Waukesha_WI,68008,
IowaCity_IA,67831,
Folsom_CA,67788,
Marietta_GA,67562,
Milpitas_CA,67503,
RockHill_SC,67339,
Mission_TX,67119,
Palatine_IL,67080,
